origin,destination,airline,direct_departure_ts,price
MOW,LED,S7,2025-10-30T06:20:00Z,43364
MOW,LED,S7,2025-10-30T14:45:00Z,43364
MOW,LED,S7,2025-10-31T06:20:00Z,19514
MOW,LED,S7,2025-10-31T14:45:00Z,12539
MOW,LED,S7,2025-11-01T06:20:00Z,12539
MOW,LED,S7,2025-11-01T14:45:00Z,12539
MOW,LED,S7,2025-11-02T06:20:00Z,10869
MOW,LED,S7,2025-11-02T14:45:00Z,9424
MOW,LED,S7,2025-11-03T06:20:00Z,7134
MOW,LED,S7,2025-11-03T14:45:00Z,7134
MOW,LED,S7,2025-11-04T06:20:00Z,6244
MOW,LED,S7,2025-11-04T14:45:00Z,7134
MOW,LED,S7,2025-11-05T06:20:00Z,4419
MOW,LED,S7,2025-11-05T14:45:00Z,4419
MOW,LED,S7,2025-11-06T06:20:00Z,4419
MOW,LED,S7,2025-11-06T14:45:00Z,4419
MOW,LED,S7,2025-11-07T06:20:00Z,4419
MOW,LED,S7,2025-11-07T14:45:00Z,4419
MOW,LED,S7,2025-11-08T06:20:00Z,5519
MOW,LED,S7,2025-11-08T14:45:00Z,4419
